"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"mean_leisure_duration","~~","mean_leisure_duration","",0.640978741708114,0.0857509787004736,7.47488543480115,0.0000000000000772715225139109,0.472909911816125,0.809047571600104,0.640978741708114,0.707935076292427
"ak_ihs","~~","ak_ihs","",0.933425409939236,0.0151137351174045,61.7600747061086,0,0.903803033437245,0.963047786441227,0.933425409939236,0.927658361868644
"total_travel_time","~~","total_travel_time","",0.908215875826439,0.105025950453666,8.64753779331059,0,0.702368795495166,1.11406295615771,0.908215875826439,0.824702184939225
"leisure_part","~~","leisure_part","",0.239787927471559,0.0306640795851017,7.81983123954782,0.00000000000000532907051820075,0.17968743586569,0.299888419077428,0.792074611848533,0.792074611848533
"female","~~","female","",0.249487941584995,0.000985565221662574,253.141990099984,0,0.247556269246121,0.251419613923869,0.249487941584995,1
"female","~~","edu_high","",-0.0122340706581533,0.00495829334793172,-2.4673954926964,0.0136099943244059,-0.0219521470448839,-0.00251599427142256,-0.0122340706581533,-0.0508358023659799
"female","~~","poverty_rate","",-0.0192143772900539,0.0101597570997173,-1.89122408158641,0.0585944380085033,-0.039127135297175,0.000698380717067196,-0.0192143772900539,-0.0357263039460155
"female","~~","mode_pt","",-0.00846007185793018,0.00487129685166956,-1.73671860195312,0.0824368526735566,-0.0180076382452059,0.0010874945293455,-0.00846007185793018,-0.0346942386496717
"female","~~","pt_sub","",0.000603248044102376,0.00478639739785894,0.126033840059378,0.899705137652897,-0.00877791847139737,0.00998441455960212,0.000603248044102376,0.00251381600104358
"female","~~","active_mode","",-0.0178956912610447,0.00496048868476167,-3.60764682641435,0.000308986689253388,-0.0276180704288961,-0.0081733120931934,-0.0178956912610447,-0.0738062022066526
"female","~~","hh_6","",-0.0170362381966457,0.00490400819743252,-3.47394162301054,0.000512872603420478,-0.0266479176435026,-0.00742455874978877,-0.0170362381966457,-0.0682763915756875
"edu_high","~~","edu_high","",0.232141637607857,0.001795051055277,129.323139264156,0,0.228623402189104,0.235659873026611,0.232141637607857,1
"edu_high","~~","poverty_rate","",-0.076802998915913,0.0101134440307064,-7.59414880655134,0.0000000000000310862446895044,-0.0966249849757592,-0.0569810128560668,-0.076802998915913,-0.148043113704852
"edu_high","~~","mode_pt","",0.0357058458761885,0.00487068169927652,7.33076971165907,0.000000000000228927987677707,0.0261594851654481,0.0452522065869288,0.0357058458761885,0.151799693172518
"edu_high","~~","pt_sub","",0.0207590838129751,0.00477911198938241,4.34371152195112,0.0000140095457705769,0.011392196435702,0.0301259711902482,0.0207590838129751,0.0896796705566956
"edu_high","~~","active_mode","",0.04227334664861,0.00481332947306241,8.78255828635686,0,0.0328393942356825,0.0517072990615375,0.04227334664861,0.180742077152569
"edu_high","~~","hh_6","",-0.00451858447203905,0.00489905488950982,-0.922337996603089,0.356352300419398,-0.0141205556137631,0.00508338666968504,-0.00451858447203905,-0.0187735982749641
"poverty_rate","~~","poverty_rate","",1.15938290127114,0.0394634238811956,29.3786698478434,0,1.08203601175736,1.23672979078492,1.15938290127114,1
"poverty_rate","~~","mode_pt","",0.0518120961834341,0.00942922124458622,5.49484361852067,0.000000039105678917295,0.0333311621417852,0.070293030225083,0.0518120961834341,0.0985656992265455
"poverty_rate","~~","pt_sub","",0.0490371059367434,0.0093728794946033,5.2318080014768,0.000000167860054078872,0.0306665996958869,0.0674076121775998,0.0490371059367434,0.0947924458987593
"poverty_rate","~~","active_mode","",-0.00261049999705855,0.0100727837478033,-0.259163709101553,0.79550893064148,-0.0223527933668135,0.0171317933726963,-0.00261049999705855,-0.00499435503064198
"poverty_rate","~~","hh_6","",-0.0343832617413718,0.00972218714327045,-3.53657682522305,0.00040534858843988,-0.0534383983931402,-0.0153281250896034,-0.0343832617413718,-0.063922722652347
"mode_pt","~~","mode_pt","",0.238332803055521,0.00243705316416754,97.7954878292251,0,0.233556266625343,0.243109339485699,0.238332803055521,1
"mode_pt","~~","pt_sub","",0.0990616969022857,0.00456745230889862,21.6886111124329,0,0.09010965487574,0.108013738928831,0.0990616969022857,0.422353596205032
"mode_pt","~~","active_mode","",0.14823947131044,0.00329153615236204,45.0365617901726,0,0.141788178997999,0.154690763622881,0.14823947131044,0.625519865913598
"mode_pt","~~","hh_6","",-0.0370575263034887,0.00470557494609897,-7.87523878122699,0.00000000000000333066907387547,-0.0462802837243967,-0.0278347688825807,-0.0370575263034887,-0.1519519059675
"pt_sub","~~","pt_sub","",0.230820996967172,0.00305032316476589,75.6709976285045,0,0.224842473423022,0.236799520511321,0.230820996967172,1
"pt_sub","~~","active_mode","",0.0253497009522166,0.0045915965967493,5.52089026509065,0.0000000337286378826462,0.0163503369910513,0.0343490649133819,0.0253497009522166,0.108693692859132
"pt_sub","~~","hh_6","",-0.0406738186911729,0.00468800018921083,-8.67615551398259,0,-0.0498621302215431,-0.0314855071608027,-0.0406738186911729,-0.169472380128481
