primary,count,cumulative_count,cumulative_percent,tag
sailing_area,10,2096721,99.9218437628225,Social & Leisure
gemstone_and_mineral,10,2096731,99.92232032524431,Other
media_restoration_service,10,2096741,99.92279688766614,Other
armenian_restaurant,10,2096751,99.92327345008795,Social & Leisure
registry_office,10,2096761,99.92375001250976,Civic and utility
oil_change_station,10,2096771,99.92422657493158,Essential needs
pool_and_billiards,10,2096781,99.92470313735339,Social & Leisure
avionics_shop,10,2096791,99.9251796997752,Other
military_surplus_store,10,2096801,99.92565626219701,Essential needs
architecture,10,2096811,99.92613282461883,Social & Leisure
golf_cart_dealer,10,2096821,99.92660938704064,Social & Leisure
children's_museum,10,2096831,99.92708594946245,Education
livestock_dealers,10,2096841,99.92756251188428,Essential needs
ferry_service,10,2096851,99.92803907430608,Civic and utility
mills,10,2096861,99.9285156367279,Other
dive_shop,10,2096871,99.92899219914972,Social & Leisure
car_stereo_installation,9,2096880,99.92942110532935,Social & Leisure
cable_car_service,9,2096889,99.92985001150898,Social & Leisure
cooking_classes,9,2096898,99.93027891768863,Social & Leisure
self_defense_classes,9,2096907,99.93070782386825,Social & Leisure
holiday_park,9,2096916,99.93113673004788,Social & Leisure
siding,9,2096925,99.93156563622752,Other
civil_rights_lawyers,9,2096934,99.93199454240714,Civic and utility
strip_club,9,2096943,99.93242344858679,Social & Leisure
lighting_fixtures_and_equipment,9,2096952,99.93285235476641,Essential needs
boat_builder,9,2096961,99.93328126094603,Other
water_purification_services,9,2096970,99.93371016712568,Civic and utility
sports_museum,9,2096979,99.9341390733053,Social & Leisure
coin_dealers,9,2096988,99.93456797948494,Other
religious_destination,9,2096997,99.93499688566457,Social & Leisure
lighting_fixture_manufacturers,9,2097006,99.9354257918442,Other
b2b_autos_and_vehicles,9,2097015,99.93585469802385,Other
agricultural_seed_store,9,2097024,99.93628360420347,Essential needs
hydroponic_gardening,9,2097033,99.9367125103831,Social & Leisure
acoustical_consultant,9,2097042,99.93714141656274,Other
kids_hair_salon,9,2097051,99.93757032274236,Social & Leisure
general_litigation,8,2097059,99.93795157267982,Civic and utility
kiteboarding,8,2097067,99.93833282261727,Social & Leisure
community_gardens,8,2097075,99.93871407255472,Social & Leisure
pet_cemetery_and_crematorium_services,8,2097083,99.93909532249218,Other
whiskey_bar,8,2097091,99.93947657242963,Social & Leisure
public_restrooms,8,2097099,99.93985782236707,Essential needs
guatemalan_restaurant,8,2097107,99.94023907230452,Social & Leisure
snorkeling,8,2097115,99.94062032224198,Social & Leisure
sheet_metal,8,2097123,99.94100157217943,Other
rock_climbing_gym,8,2097131,99.94138282211688,Social & Leisure
civil_examinations_academy,8,2097139,99.94176407205433,Education
shared_office_space,8,2097147,99.94214532199179,Civic and utility
erotic_massage,8,2097155,99.94252657192924,Social & Leisure
food_tours,8,2097163,99.94290782186668,Social & Leisure
hang_gliding_center,8,2097171,99.94328907180413,Social & Leisure
eatertainment,8,2097179,99.94367032174158,Social & Leisure
pier,8,2097187,99.94405157167904,Social & Leisure
scandinavian_restaurant,8,2097195,99.94443282161649,Social & Leisure
packaging_contractors_and_service,8,2097203,99.94481407155395,Civic and utility
